Var1,NSGAII,ECNSGAII,PECNSGAII,SRNSGAII,DCMOEAD,ECMOEAD,PECMOEAD,SRCMOEAD,ANSGAIII,CTAEA,CMOEA_MS,ToP,CCMO,PPS,MOEADDAE
NSGAII_MW2_M2_D5_9.mat,0.987034520065401,0.995181418003782,0.995245353761201,0.995573617858833,0.973932061371621,0.99071637965416,0.971552474222828,0.971601577380191,0.998248481258505,0.999625426889483,0.998323558145709,0.752923573124517,0.998732452061592,0.657144329662689,0.847805935928841
NSGAII_MW3_M2_D5_9.mat,0.83636183832083,0.83726202471132,0.859358310677394,0.830721658063817,0.954505572065225,0.945299466999732,0.470043690335693,0.879225463915633,0.890946391704986,0.877893576473302,0.935938820239419,0.748362772038217,0.965721403188159,0.842128987254901,0.4810700485081
NSGAII_MW5_M2_D5_9.mat,0.991183229825468,0.988636992616548,0.991198122573795,0.992339022311134,0.960079873871919,0.971706193374034,0.998769393101684,0.978207744059568,0.995213871334576,0.962694489165252,0.991228814317704,0.404607605005684,0.99708634698036,0.985747731927227,0.999744486604173
NSGAII_MW6_M2_D5_9.mat,0.999440010655437,0.999410784736674,0.999425854104421,0.999422493084491,0.99248809077018,0.981495761711553,0.988539471893318,0.988615578539876,0.99583170333864,0.995387483273675,0.999757495817515,0.790698219963354,0.999771021642048,0.746107888377427,0.938840913774227
NSGAII_MW7_M2_D5_9.mat,0.998844930633146,0.998877826208495,0.994687170453014,0.996708749849919,0.974565410107566,0.944262093299244,0.997520484700099,0.988531871777423,0.99740791429628,0.978845171062453,0.77182106979649,0.990601709305897,0.999256001653569,0.997687711584108,0.997463000536196
NSGAII_MW9_M2_D5_9.mat,0.975749179671692,0.978655489511752,0.976402437786731,0.983435473466215,0.97785054032003,0.975734265827969,0.976127546347627,0.980339286776846,0.973067111341323,0.977298514294981,0.574840016532477,0.83365036801051,0.989409961057911,0.975184897117894,0.985001701722476
NSGAII_C1_DTLZ1_M2_D10_9.mat,0.987325099186402,0.983708410824199,0.98980335788439,0.987841274096905,0.986459241628552,0.986587397633569,0.989258921485632,0.98558463949541,0.94095007771504,0.605679016971942,0.982587167435719,0,0.98596881398449,0.674466930855663,0.989482673324403
NSGAII_C1_DTLZ3_M2_D10_9.mat,0.963771421467547,0.946875640397587,0.99524490843662,0.949408423302052,0.963151459727457,0.963439405632965,0.833389540590163,0.956649652534745,0.951452104289198,0.640886451323595,0.896660713057236,0.074712293387563,0.997084792154229,0.764438716654653,0.98442766754728
NSGAII_C2_DTLZ2_M2_D10_9.mat,0.789070419051587,0.785858679905853,0.791961180613876,0.80260144321012,0.949538108709475,0.949442471425079,0.860822351058698,0.867076729568483,0.782922896797412,0.925403030604335,0.966993966645685,0.175641343332986,0.966961835798123,0.430075388394509,0.863960036530813
NSGAII_C3_DTLZ4_M2_D10_9.mat,0.999536617256369,0.999509277466647,0.76426652332949,0.998363381795073,0.996948462459536,0.996742083918907,0.571255919479397,0.997784313558509,0.99776137511658,0.978386925006809,0.999006989792412,0.996333937147407,0.997220784344087,0.997537756789208,0.497860468104057
NSGAII_CF1_M2_D10_9.mat,0.396858496513182,0.404238548868582,0.417518268298145,0.405638917999954,0.633456269932479,0.644359922289,0.908448423716538,0.624832080476299,0.374395379879451,0.240786289961388,0.496664915781874,0.82723278619382,0.873179529420416,0.9667934954707,0.889719376855178
NSGAII_CF2_M2_D10_9.mat,0.592034356641851,0.624373065441241,0.597012530631799,0.596932789402506,0.544653688609374,0.485156765640647,0.53319755564047,0.525882872234863,0.653175769389315,0.662516093241216,0.591779078978154,0.831862731224755,0.722535255744631,0.986921981463999,0.450618569627885
NSGAII_CF3_M2_D10_9.mat,0.657721290785211,0.506653370729903,0.565744555588361,0.56096646792258,0.544460613476471,0.514038658220449,0.493863438426659,0.508561966807261,0.539587544185029,0.534647706191768,0.562800531191574,0.003343599431466,0.573064531567772,0.515754615881842,0.421711045490033
NSGAII_CF4_M2_D10_9.mat,0.739396283510774,0.762880041531117,0.787516309626924,0.790672933808952,0.685861508235086,0.618056786295835,0.681395370870188,0.672355370236611,0.78678044126106,0.775854062377646,0.787327191322512,0.827349659586191,0.778698880106768,0.913022294393142,0.42243381601714
NSGAII_CF5_M2_D10_9.mat,0.651150389530042,0.63815553677802,0.750932686019095,0.696837212034153,0.645327941169257,0.731401897048312,0.694604952930949,0.682126931644797,0.727039382604907,0.632027163388773,0.707091190237148,0.114287680425768,0.76427766375843,0.741943712530575,0.533820837542038
NSGAII_CF6_M2_D10_9.mat,0.897962861333875,0.88976817507883,0.908567104187514,0.881340340133728,0.848226517703347,0.857345009999775,0.927207937847097,0.85995472168256,0.89372620599821,0.903863678221208,0.886784332008524,0.909857814215948,0.923018337335939,0.942274655712604,0.763812697120315
NSGAII_CF7_M2_D10_9.mat,0.787151140198666,0.750473764774864,0.760470219662528,0.735295361509537,0.780224462243534,0.727061131203865,0.670947779818391,0.685049239259392,0.822395680562811,0.772195311896601,0.718317099309431,0.230803401316656,0.828372089880918,0.766476371811841,0.505656906333544
NSGAII_DASCMOP1_10_M2_D10_9.mat,0.26629244811481,0.277354558701026,0.657373018174519,0.280649911788956,0.23214154828248,0.213064533456717,0.334621522355862,0.244291010218341,0.276127409204844,0.695816964756856,0.381741992054032,0.622204238990055,0.647459764743117,0.987048492210191,0.713464423240655
NSGAII_DASCMOP1_11_M2_D10_9.mat,0.884503181988209,0.891376496187295,0.800113164475367,0.936379411926593,0.599081963927493,0.566934538628532,0.441357586510805,0.564608718591785,0.873139661799127,0.834819168810656,0.975100470722933,0.965928277022003,0.939802879897996,0.947920200214081,0.432648093713772
NSGAII_DASCMOP1_12_M2_D10_9.mat,0.877415685362865,0.886580873451084,0.769314513736339,0.939864124730083,0.76120318793664,0.67782252406681,0.378880879748083,0.829190392202779,0.835810765744173,0.785914574871253,0.940044800978743,0.953398463282121,0.935471619696675,0.949878751292489,0.580919804450992
NSGAII_DASCMOP1_13_M2_D10_9.mat,0.892587233245896,0.904839576577821,0.744352202408399,0.92605278032957,0.741777845233373,0.802021320367897,0.426074267554462,0.836134349364128,0.839340725641974,0.79310803418417,0.956048658347097,0.963966909680463,0.935535096204121,0.959353324872586,0.567240748820693
NSGAII_DASCMOP1_14_M2_D10_9.mat,0.828608282643479,0.848669549999176,0.756862656094311,0.903304139729069,0.761596770772574,0.759444944602594,0.414480482228349,0.875188055283696,0.863007337346662,0.787430382209832,0.955734851635422,0.963758150513866,0.937050781869132,0.950310864518285,0.577257661988615
NSGAII_DASCMOP1_15_M2_D10_9.mat,0.856827583237303,0.880964128086094,0.766898342508512,0.938121289673736,0.753848981526652,0.713581142334145,0.395613318230763,0.829155521030417,0.841193492911132,0.802751704369333,0.915491304539431,0.963337219397732,0.934534095721329,0.952386953530178,0.659501145190465
NSGAII_DASCMOP1_1_M2_D10_9.mat,0.886467945412262,0.829244164513616,0.856090470886071,0.939961055848686,0.677783630877114,0.705646113158428,0.731170672642106,0.67955036455047,0.863147218411127,0.929813007928488,0.900717624726383,0.960741789539909,0.919267119512196,0.986502480439143,0.69960885129172
NSGAII_DASCMOP1_2_M2_D10_9.mat,0.855131899958276,0.868644219511024,0.842181012105371,0.900774251760607,0.738271607182791,0.704177352012125,0.676347617800248,0.791684346228158,0.875332672492881,0.926119936685264,0.844382218158008,0.932885410635886,0.917099154370279,0.95979810862602,0.755978270319309
NSGAII_DASCMOP1_3_M2_D10_9.mat,0.939960658696795,0.937138145285168,0.845769820786597,0.946909728164967,0.873310580958896,0.866579690072661,0.666927404641506,0.898453042173921,0.90475698797353,0.941195341811135,0.932922629399577,0.980762794654829,0.956444242660863,0.98818374858522,0.824673466856334
NSGAII_DASCMOP1_4_M2_D10_9.mat,0.881602698366149,0.89458932094879,0.834886093316277,0.891607005935899,0.902468307905926,0.811452360872396,0.740251434470888,0.847193785081249,0.931771768180569,0.942099264826105,0.888604873919525,0.982315214721911,0.941216730560725,0.985421450595527,0.789186692584319
NSGAII_DASCMOP1_5_M2_D10_9.mat,0.889819268759694,0.877124455214906,0.807922687804231,0.91091185278212,0.72606126436018,0.775123634303864,0.475384485467484,0.786051669765797,0.895414833904554,0.923216006887674,0.844358455304915,0.980409592002558,0.933639453448517,0.974655135470969,0.754910028255194
NSGAII_DASCMOP1_6_M2_D10_9.mat,0.517991680377917,0.520211613810018,0.675268497038348,0.579299710769465,0.452594662719913,0.423239920695123,0.616066904654494,0.437776874215557,0.525982858409631,0.712148428568443,0.649652806027022,0.598439734491927,0.730955397790647,0.989865796790992,0.511839864510035
NSGAII_DASCMOP1_7_M2_D10_9.mat,0.441515970487124,0.493968754492463,0.683205796146812,0.513194826240014,0.379702462043382,0.3893726571407,0.567930514655008,0.349148308002454,0.438864238141549,0.701027430979258,0.605586352876694,0.698028345169072,0.711122552497305,0.997977727083492,0.46155101376523
NSGAII_DASCMOP1_8_M2_D10_9.mat,0.391950030133822,0.3735997001929,0.639147353702182,0.450238979390544,0.362942147927776,0.309107268298958,0.554826264569962,0.364069008766726,0.432096758468643,0.686924939325225,0.602821255643316,0.666765987697861,0.69962098860879,0.997841393621501,0.505304397968445
NSGAII_DASCMOP1_9_M2_D10_9.mat,0.531912402761929,0.405211626898192,0.665711079323901,0.52012012661783,0.451099536406637,0.39189903737391,0.611813535440952,0.433557179052523,0.409629378895025,0.720198540171513,0.635949146486787,0.684120462737382,0.698335521632485,0.99839052549942,0.537303882353622
NSGAII_DASCMOP2_10_M2_D10_9.mat,0.264841097649967,0.259239813740165,0.527474319651496,0.342830247843352,0.256414980621389,0.265132768830836,0.515241539480377,0.308531616530794,0.275901156895418,0.88707166641918,0.465796547695148,0.918784113254424,0.556718897841396,0.973256328769709,0.440379604803252
NSGAII_DASCMOP2_11_M2_D10_9.mat,0.9799391996416,0.978760446009439,0.697887947960461,0.979859483636575,0.886176111320068,0.87567572839217,0.479681864623608,0.898800639073026,0.973933105873773,0.862426515154814,0.975989104705835,0.968685037527179,0.968804927984376,0.954076439109502,0.540199967019857
NSGAII_DASCMOP2_12_M2_D10_9.mat,0.975829814614131,0.982798099682049,0.790898691742006,0.980746077540711,0.901361447297443,0.901132517993896,0.602022708878444,0.933274629487377,0.976302062708005,0.899453686051039,0.980555929499397,0.97606247993752,0.969968894536465,0.950517184834157,0.71305955689741
NSGAII_DASCMOP2_13_M2_D10_9.mat,0.980618262336561,0.965178298788941,0.746084725888403,0.97755732730604,0.895289831127309,0.883302059136157,0.362555322479553,0.924431830607203,0.977947086055181,0.875867726771767,0.980864861882882,0.975481670111409,0.963262489518672,0.941398374699873,0.70202510807461
