Instances,Source,feature_corr_cf,feature_f_mdl_r2,feature_dist_c_corr,feature_min_cv,feature_bhv_avg_rws,feature_skew_rnge,feature_piz_ob_min,feature_ps_dist_iqr_mean,feature_dist_c_dist_x_avg_rws,feature_cpo_upo_n,feature_cv_range_coeff,feature_corr_obj,feature_dist_f_dist_x_avg_rws,feature_cv_mdl_r2,algo_NSGAII,algo_ECNSGAII,algo_PECNSGAII,algo_SRNSGAII,algo_DCMOEAD,algo_ECMOEAD,algo_PECMOEAD,algo_SRCMOEAD,algo_ANSGAIII,algo_CTAEA,algo_CMOEA_MS,algo_ToP,algo_CCMO,algo_PPS,algo_MOEADDAE
DASCMOP1_1_d2,DASCMOP1,-0.50815680269331,1.28509297663201,0.048958723010481,0.422802407234923,1.51126344385108,0.255286752743975,-1.13007346403931,-1.15614729376999,-0.183688380197489,-1.33207292483644,-0.872594818171355,-1.56343989616339,-0.837984518157828,-0.33595794554975,0.969892284210918,0.970350824314216,0.796104461197237,0.963283126991962,0.890020047688605,0.856400996082168,0.342519530228155,0.928781780374438,0.965050918404047,0.857395897967403,0.939514508321903,0.97985330627521,0.956937033807663,0.916036316111492,0.945647719446441
DASCMOP1_2_d2,DASCMOP1,-0.523236441249244,1.28509297663201,-0.142780054902428,0.439158265246607,1.50919849156163,0.255286752743975,-1.13038857190109,-1.15614729376999,-0.124265096069405,-1.33207292483644,-0.942757009780462,-1.56343989616339,-0.837984518157828,-0.544279325530845,0.829444151117171,0.842723702078437,0.687374970124485,0.815819618705339,0.765861947441958,0.767737205969558,0.272158000652236,0.88104516455045,0.870862563340445,0.693754622828093,0.832617142635096,0.90633500269628,0.84758435122235,0.841677466459961,0.870133994380976
DASCMOP1_3_d2,DASCMOP1,-0.540665964009128,1.28509297663201,-0.057146141511996,0.389446956720838,1.50900395340774,0.255286752743975,-1.17612519201181,-1.15172508446878,-0.107221833225474,-1.33209485961513,-0.886412350594222,-1.56343989616339,-0.837984518157828,-0.630243148521447,0.929979217090135,0.942061620926028,0.838438929073508,0.915653565083683,0.874669637600851,0.829207807390806,0.493015128499928,0.89700383035948,0.95354242905748,0.86410926502176,0.940021775035141,0.944279142190485,0.962223967773997,0.95806732516062,0.930152231226181
DASCMOP1_4_d2,DASCMOP1,-0.542201999119179,1.28509297663201,-0.118522539834781,0.420060003549524,1.50787673986985,0.255286752743975,-1.13322609085172,-0.96999109593121,-0.101785809540435,-1.33068102534291,-0.866922778945806,-1.56343989616339,-0.837984518157828,-0.625670776174651,0.930271940667188,0.930027917120941,0.790520864935272,0.914205002687051,0.844727983758926,0.880272721274454,0.409369974445604,0.934783476672864,0.915506607424121,0.841670906567459,0.902718526902857,0.958058418560737,0.961823640247026,0.942132259820045,0.92511436050281
DASCMOP1_5_d2,DASCMOP1,-0.553736191279354,1.28509297663201,-0.040970591349053,0.397133695617468,1.50804724847888,0.255286752743975,-1.14555427062099,-0.962456261278879,-0.102627662614191,-1.32962522110682,-0.81691648044426,-1.56343989616339,-0.837984518157828,-0.597180857763735,0.905771295916188,0.8994184356983,0.775360800311501,0.912686071740062,0.880699638282657,0.889801429127362,0.419193871408748,0.90745178411182,0.925549392734168,0.800299489576055,0.869992050571816,0.934338732514442,0.934381335645919,0.923207866698483,0.906025362416799
DASCMOP1_6_d2,DASCMOP1,-0.220714858327626,1.28509297663201,-0.273272206855059,-0.583767873542922,1.52072564173847,0.255286752743975,-0.6554306967464,0.406490609626338,0.056286147312089,-1.32067677038122,-0.305660295204364,-1.56343989616339,-0.837984518157828,-0.645414250399168,0.451296880593777,0.44760621207938,0.406887101813052,0.453307029415659,0.451269402639099,0.469446034364598,0.217910451727648,0.474107678559054,0.463914332887313,0.566430993281038,0.467119880467973,0.749800568508299,0.438205720168093,0.946438304839816,0.485714366712701
DASCMOP1_7_d2,DASCMOP1,-0.247442939222312,1.28509297663201,-0.518278689713357,-0.55456001900907,1.51931431463267,0.255286752743975,-0.593740891911764,-0.128887848226295,0.12694567288931,-1.31886905068024,-0.625601308052904,-1.56343989616339,-0.837984518157828,-0.902804451391399,0.536004379700777,0.536083570291285,0.528817309678657,0.565820789660755,0.536210192261675,0.520994115406427,0.286489391932755,0.587838616434682,0.541434516872832,0.67205660949652,0.550886389222933,0.825333408977171,0.537137188671992,0.921378533285687,0.584177292680526
DASCMOP1_8_d2,DASCMOP1,-0.258137930149081,1.28509297663201,-0.556908057926394,-0.566134262250922,1.51826699981119,0.255286752743975,-0.598113745942456,0.449206639990664,0.146039734637438,-1.32036418613653,-0.771450175724705,-1.56343989616339,-0.837984518157828,-0.946176211463816,0.528776106841092,0.510542850987847,0.465541472351528,0.511198356944576,0.547214353507066,0.515514226283411,0.229706979654596,0.566347220099607,0.535591380054396,0.677136029440977,0.54092312892243,0.774218578287137,0.566418809811478,0.869363689441902,0.515820840556718
DASCMOP1_9_d2,DASCMOP1,-0.26431497625585,1.28509297663201,-0.573124036948739,-0.562127799306177,1.51745488672534,0.255286752743975,-0.572760118959189,0.153820372244465,0.153001768489171,-1.31795602527818,-0.79614919267003,-1.56343989616339,-0.837984518157828,-0.950182575801299,0.498884873997756,0.487887176978348,0.426493720581235,0.495889810503243,0.500988613862377,0.517161247261813,0.244647733542814,0.537764730969832,0.49183996646941,0.783438694752315,0.543342371112253,0.754065554610548,0.571373531802434,0.850084365617925,0.508346092047301
DASCMOP2_10_d2,DASCMOP2,-0.305839930681504,1.29293813366732,-0.471296563454684,-0.606700700489258,1.65607979898945,0.819299845654415,-0.574798897998977,0.459801966472318,0.178490920604076,-1.23358065298958,-0.788385667388046,-1.26584525406192,-1.1064997522656,-0.90675668682968,0.874128224616082,0.850000844404862,0.737573935739816,0.909335021512787,0.932187802204742,0.93219460018532,0.441947173469852,0.934482897752032,0.750751714639693,0.659739909761835,0.793097089750499,0.930601680810025,0.825000577286978,0.926706055271522,0.912586879141659
DASCMOP2_11_d2,DASCMOP2,-1.09881920222492,1.29293813366732,1.14312015420863,1.46543305804837,1.65360142773266,0.819299845654415,-1.26384620458127,-1.17607529033866,-0.463298914169012,-1.3306314281265,-0.642376617438874,-1.26584525406192,-1.1064997522656,0.984257688247917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_12_d2,DASCMOP2,-1.14301603931548,1.29293813366732,1.17957603196487,1.47163200046853,1.65069999274065,0.819299845654415,-1.2648355158422,-1.17607529033866,-0.416384038701641,-1.3306314281265,-0.553438685257681,-1.26584525406192,-1.1064997522656,0.936990460134017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
