Var1,NSGAII,ECNSGAII,PECNSGAII,SRNSGAII,DCMOEAD,ECMOEAD,PECMOEAD,SRCMOEAD,ANSGAIII,CTAEA,CMOEA_MS,ToP,CCMO,PPS,MOEADDAE
NSGAII_DASCMOP2_5_M2_D2_9.mat,0.243510944010982,0.243697302586052,0.291604675218776,0.233818401512801,0.251923894225779,0.277711098259815,0.556438144868088,0.242747755750418,0.242122368756343,0.315781920206976,0.236009902269923,0.212075877149336,0.22339121742192,0.219994588205909,0.298597903445661
NSGAII_DASCMOP2_6_M2_D2_9.mat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSGAII_DASCMOP2_7_M2_D2_9.mat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSGAII_DASCMOP2_8_M2_D2_9.mat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSGAII_DASCMOP2_9_M2_D2_9.mat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSGAII_DASCMOP3_10_M2_D2_9.mat,0.273701365425041,0.25673517340388,0.388212377981007,0.262579413362272,0.335436953297574,0.383406665143302,0.627594764146854,0.287050221559573,0.245480321149574,0.313874266441655,0.305770525128295,0.207045376919869,0.209783809427125,0.2594941965201,0.306112931239505
NSGAII_DASCMOP3_11_M2_D2_9.mat,0.367641230819275,0.384876691265767,0.408655138195717,0.327082834141504,0.423846109148439,0.432085997334707,0.638121172482273,0.321372022135861,0.293493045308268,0.296168550231693,0.390456122688685,0.282878365644953,0.264111395316474,0.284193090180564,0.357716841282141
NSGAII_DASCMOP3_12_M2_D2_9.mat,0.199827351079057,0.23028243595082,0.261966573688264,0.222772328651926,0.278349083639445,0.290526608836552,0.428183806407552,0.250756629082799,0.211534391033652,0.191063992852634,0.280426379462072,0.164085268572565,0.189094576407072,0.169759850852942,0.211039178673145
NSGAII_DASCMOP3_13_M2_D2_9.mat,0.342470388826306,0.33401801055426,0.362138982910126,0.439313339279244,0.413943233909317,0.397033947658256,0.615571069234815,0.35464460853623,0.359426023420415,0.277805299943873,0.399642331217092,0.245565137195774,0.26183670188585,0.249715881898184,0.333766821069374
NSGAII_DASCMOP3_14_M2_D2_9.mat,0.204245786464353,0.26063344812157,0.221522506057222,0.209313017966959,0.286105743820294,0.285212801437501,0.452259153737891,0.261102632652322,0.246725308601231,0.179559562912354,0.230050157188565,0.155462564308632,0.165646961412662,0.184455559046096,0.245902114015757
